Thor音效列表读取结果
==================================================
读取时间: 2025-08-02 02:22:27
总音效数量: 49

音效详细列表:
ID 255: 状态=0x00, 原值=0x00FF
ID  19: 状态=0x01, 原值=0x0113
ID  20: 状态=0x01, 原值=0x0114
ID  17: 状态=0x01, 原值=0x0111
ID  18: 状态=0x01, 原值=0x0112
ID   6: 状态=0x01, 原值=0x0106
ID   5: 状态=0x01, 原值=0x0105
ID  21: 状态=0x01, 原值=0x0115
ID  22: 状态=0x01, 原值=0x0116
ID 254: 状态=0x00, 原值=0x00FE
ID 253: 状态=0x00, 原值=0x00FD
ID  24: 状态=0x01, 原值=0x0118
ID  23: 状态=0x01, 原值=0x0117
ID  10: 状态=0x01, 原值=0x010A
ID   9: 状态=0x01, 原值=0x0109
ID  30: 状态=0x01, 原值=0x011E
ID  29: 状态=0x01, 原值=0x011D
ID  28: 状态=0x01, 原值=0x011C
ID  27: 状态=0x01, 原值=0x011B
ID 250: 状态=0x00, 原值=0x00FA
ID 249: 状态=0x00, 原值=0x00F9
ID  16: 状态=0x01, 原值=0x0110
ID  15: 状态=0x01, 原值=0x010F
ID   4: 状态=0x01, 原值=0x0104
ID   3: 状态=0x01, 原值=0x0103
ID   2: 状态=0x01, 原值=0x0102
ID   1: 状态=0x01, 原值=0x0101
ID 252: 状态=0x00, 原值=0x00FC
ID 251: 状态=0x00, 原值=0x00FB
ID   8: 状态=0x01, 原值=0x0108
ID   7: 状态=0x01, 原值=0x0107
ID  12: 状态=0x01, 原值=0x010C
ID  11: 状态=0x01, 原值=0x010B
ID  14: 状态=0x01, 原值=0x010E
ID  13: 状态=0x01, 原值=0x010D
ID 171: 状态=0x00, 原值=0x00AB
ID 187: 状态=0x00, 原值=0x00BB
ID 205: 状态=0x00, 原值=0x00CD
ID 176: 状态=0x00, 原值=0x00B0
ID 177: 状态=0x00, 原值=0x00B1
ID 193: 状态=0x00, 原值=0x00C1
ID 190: 状态=0x00, 原值=0x00BE
ID 172: 状态=0x00, 原值=0x00AC
ID 182: 状态=0x00, 原值=0x00B6
ID 180: 状态=0x00, 原值=0x00B4
ID 204: 状态=0x00, 原值=0x00CC
ID 179: 状态=0x00, 原值=0x00B3
ID 207: 状态=0x00, 原值=0x00CF
ID 206: 状态=0x00, 原值=0x00CE

原始数据: 0032010000FF0113011401110112010601050115011600FE00FD01180117010A0109011E011D011C011B00FA00F90110010F010401030102010100FC00FB01080107010C010B010E010D00AB00BB00CD00B000B100C100BE00AC00B600B400CC00B300CF00CE
